gender,age,age_o,samerace,attractive_o,sincere_o,intelligence_o,funny_o,ambition_o,shared_interests_o,attractive_important,sincere_important,intelligence_important,funny_important,ambition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,interests_correlate,expected_num_interested_in_me,expected_num_matches,like,guess_prob_liked,match,age_d,relative_attractive,relative_sincere,relative_intelligence,relative_funny,relative_ambition,relative_shared
0,24.0,23.0,1,9.0,9.0,9.0,9.0,9.0,9.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,10.0,8.0,3.0,7.0,9.0,7.0,6.0,5.0,7.0,-0.21,5.0,3.0,7.0,8.0,1,1.0,3.15,0.45,1.75,1.2,0.0,0.35
0,24.0,25.0,1,7.0,8.0,7.0,5.0,7.0,7.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,10.0,8.0,3.0,8.0,7.0,8.0,3.0,6.0,2.0,0.73,5.0,3.0,6.0,5.0,0,1.0,3.6,0.35,2.0,0.6,0.0,0.1
0,24.0,30.0,1,5.0,3.0,4.0,3.0,5.0,3.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,10.0,8.0,3.0,7.0,5.0,9.0,6.0,7.0,9.0,0.6,5.0,3.0,8.0,7.0,0,6.0,3.15,0.25,2.25,1.2,0.0,0.45
0,24.0,27.0,1,7.0,7.0,7.0,7.0,7.0,5.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,10.0,8.0,3.0,5.0,8.0,7.0,5.0,9.0,5.0,0.07,5.0,3.0,5.0,6.0,0,3.0,2.25,0.4,1.75,1.0,0.0,0.25
0,24.0,28.0,1,8.0,6.0,9.0,9.0,8.0,7.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,10.0,8.0,3.0,7.0,6.0,8.0,9.0,4.0,5.0,0.11,5.0,3.0,5.0,6.0,1,4.0,3.15,0.3,2.0,1.8,0.0,0.25
0,24.0,24.0,1,6.0,5.0,7.0,7.0,9.0,7.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,10.0,8.0,3.0,6.0,7.0,8.0,7.0,9.0,8.0,0.39,5.0,3.0,8.0,7.0,0,0.0,2.7,0.35,2.0,1.4,0.0,0.4
0,23.0,27.0,1,6.0,7.0,8.0,7.0,7.0,5.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,4.0,10.0,8.0,5.0,8.0,7.0,-0.18,2.0,2.0,6.0,7.0,0,4.0,0.8,2.0,1.6,1.0,0.8,0.7
0,23.0,22.0,0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,4.0,7.0,8.0,8.0,6.0,7.0,0.05,2.0,2.0,4.0,1.0,0,1.0,0.8,1.4,1.6,1.6,0.6,0.7
0,23.0,24.0,0,8.0,8.0,9.0,8.0,8.0,9.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,6.0,9.0,8.0,9.0,8.0,9.0,0.21,2.0,2.0,7.0,7.0,0,1.0,1.2,1.8,1.6,1.8,0.8,0.9
0,23.0,25.0,1,6.0,6.0,7.0,7.0,8.0,7.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,5.0,10.0,8.0,4.0,8.0,2.0,0.37,2.0,2.0,4.0,3.0,0,2.0,1.0,2.0,1.6,0.8,0.8,0.2
0,23.0,30.0,1,7.0,6.0,3.0,5.0,6.0,5.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,7.0,10.0,10.0,7.0,10.0,5.0,0.35,2.0,2.0,5.0,1.0,0,7.0,1.4,2.0,2.0,1.4,1.0,0.5
0,23.0,27.0,1,6.0,7.0,8.0,6.0,6.0,5.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,5.0,9.0,9.0,5.0,9.0,7.0,0.15,2.0,2.0,6.0,6.0,0,4.0,1.0,1.8,1.8,1.0,0.9,0.7
0,23.0,28.0,1,7.0,7.0,7.0,10.0,9.0,10.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,9.0,8.0,10.0,10.0,7.0,8.0,-0.47,2.0,2.0,8.0,8.0,1,5.0,1.8,1.6,2.0,2.0,0.7,0.8
0,23.0,24.0,1,7.0,8.0,8.0,7.0,8.0,7.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,8.0,9.0,7.0,8.0,8.0,9.0,10.0,10.0,8.0,8.0,-0.19,2.0,2.0,10.0,8.0,0,1.0,1.6,1.8,2.0,2.0,0.8,0.8
0,23.0,27.0,0,7.0,9.0,8.0,9.0,8.0,4.0,10.0,25.0,20.0,25.0,5.0,15.0,5.0,7.0,8.0,9.0,5.0,6.0,9.0,7.0,6.0,7.0,6.0,0.33,3.0,4.0,6.0,6.0,0,4.0,0.6,2.25,1.4,1.5,0.35,0.9
0,23.0,22.0,0,6.0,8.0,10.0,6.0,7.0,6.0,10.0,25.0,20.0,25.0,5.0,15.0,5.0,7.0,8.0,9.0,5.0,6.0,9.0,9.0,6.0,8.0,2.0,0.37,3.0,4.0,7.0,6.0,0,1.0,0.6,2.25,1.8,1.5,0.4,0.3
0,23.0,23.0,0,6.0,8.0,8.0,7.0,9.0,8.0,10.0,25.0,20.0,25.0,5.0,15.0,5.0,7.0,8.0,9.0,5.0,8.0,6.0,7.0,8.0,2.0,8.0,0.12,3.0,4.0,9.0,4.0,1,0.0,0.8,1.5,1.4,2.0,0.1,1.2
0,23.0,25.0,0,6.0,6.0,8.0,8.0,8.0,7.0,10.0,25.0,20.0,25.0,5.0,15.0,5.0,7.0,8.0,9.0,5.0,3.0,7.0,6.0,1.0,1.0,1.0,0.19,3.0,4.0,2.0,2.0,0,2.0,0.3,1.75,1.2,0.25,0.05,0.15
0,23.0,30.0,0,5.0,6.0,8.0,4.0,5.0,4.0,10.0,25.0,20.0,25.0,5.0,15.0,5.0,7.0,8.0,9.0,5.0,8.0,8.0,8.0,8.0,3.0,4.0,0.47,3.0,4.0,8.0,7.0,0,7.0,0.8,2.0,1.6,2.0,0.15,0.6
0,23.0,27.0,0,6.0,7.0,8.0,7.0,8.0,5.0,10.0,25.0,20.0,25.0,5.0,15.0,5.0,7.0,8.0,9.0,5.0,4.0,8.0,9.0,2.0,8.0,3.0,0.03,3.0,4.0,5.0,5.0,0,4.0,0.4,2.0,1.8,0.5,0.4,0.45
0,23.0,28.0,0,6.0,7.0,7.0,6.0,6.0,6.0,10.0,25.0,20.0,25.0,5.0,15.0,5.0,7.0,8.0,9.0,5.0,7.0,6.0,8.0,8.0,6.0,9.0,0.46,3.0,4.0,9.0,6.0,1,5.0,0.7,1.5,1.6,2.0,0.3,1.35
0,23.0,24.0,0,7.0,10.0,10.0,6.0,10.0,7.0,10.0,25.0,20.0,25.0,5.0,15.0,5.0,7.0,8.0,9.0,5.0,8.0,9.0,9.0,9.0,10.0,7.0,0.43,3.0,4.0,9.0,8.0,0,1.0,0.8,2.25,1.8,2.25,0.5,1.05
0,22.0,27.0,0,7.0,8.0,8.0,8.0,7.0,7.0,15.0,15.0,25.0,20.0,15.0,10.0,6.0,6.0,5.0,7.0,7.0,4.0,8.0,8.0,5.0,7.0,4.0,0.19,3.0,2.0,7.0,4.0,0,5.0,0.6,1.2,2.0,1.0,1.05,0.4
0,22.0,25.0,0,8.0,8.0,8.0,6.0,6.0,6.0,15.0,15.0,25.0,20.0,15.0,10.0,6.0,6.0,5.0,7.0,7.0,4.0,8.0,7.0,4.0,5.0,4.0,0.59,3.0,2.0,5.0,5.0,0,3.0,0.6,1.2,1.75,0.8,0.75,0.4
0,22.0,30.0,0,7.0,6.0,5.0,4.0,4.0,3.0,15.0,15.0,25.0,20.0,15.0,10.0,6.0,6.0,5.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,0.31,3.0,2.0,8.0,7.0,0,8.0,1.05,1.05,2.0,1.4,1.05,0.7
0,22.0,27.0,0,8.0,7.0,6.0,7.0,7.0,5.0,15.0,15.0,25.0,20.0,15.0,10.0,6.0,6.0,5.0,7.0,7.0,5.0,7.0,8.0,5.0,9.0,5.0,0.08,3.0,2.0,5.0,7.0,0,5.0,0.75,1.05,2.0,1.0,1.35,0.5
0,22.0,28.0,0,9.0,7.0,9.0,9.0,9.0,10.0,15.0,15.0,25.0,20.0,15.0,10.0,6.0,6.0,5.0,7.0,7.0,6.0,6.0,8.0,8.0,8.0,6.0,-0.34,3.0,2.0,6.0,6.0,1,6.0,0.9,0.9,2.0,1.6,1.2,0.6
0,22.0,24.0,0,7.0,6.0,8.0,6.0,8.0,7.0,15.0,15.0,25.0,20.0,15.0,10.0,6.0,6.0,5.0,7.0,7.0,8.0,6.0,7.0,7.0,8.0,6.0,-0.16,3.0,2.0,7.0,5.0,0,2.0,1.2,0.9,1.75,1.4,1.2,0.6
0,26.0,27.0,0,6.0,8.0,7.0,8.0,7.0,5.0,20.0,10.0,20.0,30.0,10.0,10.0,7.0,6.0,10.0,7.0,7.0,8.0,10.0,9.0,8.0,7.0,6.0,0.19,15.0,1.0,5.0,5.0,0,1.0,1.6,1.0,1.8,2.4,0.7,0.6
0,26.0,22.0,0,8.0,8.0,10.0,7.0,6.0,5.0,20.0,10.0,20.0,30.0,10.0,10.0,7.0,6.0,10.0,7.0,7.0,10.0,10.0,10.0,10.0,10.0,10.0,0.03,15.0,1.0,10.0,5.0,1,4.0,2.0,1.0,2.0,3.0,1.0,1.0
0,26.0,22.0,0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,20.0,30.0,10.0,10.0,7.0,6.0,10.0,7.0,7.0,5.0,10.0,10.0,6.0,6.0,6.0,0.68,15.0,1.0,8.0,5.0,1,4.0,1.0,1.0,2.0,1.8,0.6,0.6
0,26.0,23.0,0,7.0,8.0,7.0,8.0,8.0,7.0,20.0,10.0,20.0,30.0,10.0,10.0,7.0,6.0,10.0,7.0,7.0,10.0,9.0,8.0,8.0,7.0,7.0,-0.26,15.0,1.0,7.0,5.0,1,3.0,2.0,0.9,1.6,2.4,0.7,0.7
0,26.0,24.0,0,7.0,9.0,8.0,9.0,7.0,7.0,20.0,10.0,20.0,30.0,10.0,10.0,7.0,6.0,10.0,7.0,7.0,5.0,10.0,8.0,8.0,5.0,5.0,-0.01,15.0,1.0,5.0,5.0,1,2.0,1.0,1.0,1.6,2.4,0.5,0.5
0,26.0,25.0,0,6.0,6.0,7.0,8.0,7.0,7.0,20.0,10.0,20.0,30.0,10.0,10.0,7.0,6.0,10.0,7.0,7.0,8.0,9.0,9.0,7.0,6.0,5.0,0.42,15.0,1.0,6.0,5.0,1,1.0,1.6,0.9,1.8,2.1,0.6,0.5
0,26.0,30.0,0,8.0,6.0,7.0,8.0,6.0,5.0,20.0,10.0,20.0,30.0,10.0,10.0,7.0,6.0,10.0,7.0,7.0,6.0,8.0,9.0,6.0,6.0,6.0,0.21,15.0,1.0,7.0,5.0,1,4.0,1.2,0.8,1.8,1.8,0.6,0.6
0,26.0,27.0,0,7.0,7.0,7.0,7.0,6.0,5.0,20.0,10.0,20.0,30.0,10.0,10.0,7.0,6.0,10.0,7.0,7.0,6.0,7.0,8.0,7.0,9.0,6.0,0.1,15.0,1.0,7.0,5.0,0,1.0,1.2,0.7,1.6,2.1,0.9,0.6
0,26.0,28.0,0,6.0,6.0,6.0,7.0,6.0,6.0,20.0,10.0,20.0,30.0,10.0,10.0,7.0,6.0,10.0,7.0,7.0,8.0,5.0,5.0,6.0,5.0,5.0,-0.35,15.0,1.0,7.0,6.0,1,2.0,1.6,0.5,1.0,1.8,0.5,0.5
0,26.0,24.0,0,5.0,6.0,6.0,6.0,6.0,6.0,20.0,10.0,20.0,30.0,10.0,10.0,7.0,6.0,10.0,7.0,7.0,7.0,8.0,7.0,8.0,7.0,8.0,-0.23,15.0,1.0,8.0,5.0,0,2.0,1.4,0.8,1.4,2.4,0.7,0.8
1,27.0,21.0,0,6.0,9.0,7.0,7.0,6.0,5.0,35.0,20.0,20.0,20.0,0.0,5.0,8.0,9.0,7.0,8.0,5.0,6.0,8.0,8.0,8.0,8.0,6.0,0.14,3.0,0.0,7.0,4.0,0,6.0,2.1,1.6,1.6,1.6,0.0,0.3
1,27.0,24.0,1,5.0,7.0,8.0,4.0,6.0,3.0,35.0,20.0,20.0,20.0,0.0,5.0,8.0,9.0,7.0,8.0,5.0,8.0,7.0,6.0,9.0,7.0,4.0,0.29,3.0,0.0,7.0,2.0,0,3.0,2.8,1.4,1.2,1.8,0.0,0.2
1,27.0,23.0,1,4.0,10.0,8.0,5.0,8.0,7.0,35.0,20.0,20.0,20.0,0.0,5.0,8.0,9.0,7.0,8.0,5.0,6.0,7.0,8.0,7.0,7.0,5.0,-0.18,3.0,0.0,6.0,3.0,0,4.0,2.1,1.4,1.6,1.4,0.0,0.25
1,27.0,21.0,1,5.0,8.0,8.0,2.0,2.0,2.0,35.0,20.0,20.0,20.0,0.0,5.0,8.0,9.0,7.0,8.0,5.0,6.0,8.0,8.0,8.0,7.0,6.0,-0.43,3.0,0.0,6.0,5.0,0,6.0,2.1,1.6,1.6,1.6,0.0,0.3
1,27.0,23.0,0,6.0,9.0,7.0,6.0,7.0,6.0,35.0,20.0,20.0,20.0,0.0,5.0,8.0,9.0,7.0,8.0,5.0,7.0,9.0,8.0,9.0,8.0,4.0,0.33,3.0,0.0,7.0,4.0,0,4.0,2.45,1.8,1.6,1.8,0.0,0.2
1,27.0,22.0,0,4.0,8.0,8.0,5.0,7.0,4.0,35.0,20.0,20.0,20.0,0.0,5.0,8.0,9.0,7.0,8.0,5.0,7.0,8.0,8.0,8.0,7.0,7.0,0.19,3.0,0.0,7.0,4.0,0,5.0,2.45,1.6,1.6,1.6,0.0,0.35
1,27.0,25.0,1,5.0,8.0,7.0,4.0,7.0,5.0,35.0,20.0,20.0,20.0,0.0,5.0,8.0,9.0,7.0,8.0,5.0,8.0,7.0,6.0,6.0,6.0,5.0,-0.03,3.0,0.0,7.0,4.0,0,2.0,2.8,1.4,1.2,1.2,0.0,0.25
1,27.0,26.0,0,8.0,10.0,9.0,8.0,7.0,6.0,35.0,20.0,20.0,20.0,0.0,5.0,8.0,9.0,7.0,8.0,5.0,6.0,8.0,7.0,8.0,7.0,5.0,0.19,3.0,0.0,6.0,4.0,0,1.0,2.1,1.6,1.4,1.6,0.0,0.25
1,22.0,21.0,0,7.0,8.0,7.0,8.0,5.0,6.0,60.0,0.0,0.0,40.0,0.0,0.0,9.0,9.0,9.0,10.0,9.0,7.0,8.0,10.0,7.0,7.0,5.0,0.54,20.0,3.0,8.0,4.0,0,1.0,4.2,0.0,0.0,2.8,0.0,0.0
1,22.0,24.0,1,8.0,5.0,6.0,6.0,9.0,6.0,60.0,0.0,0.0,40.0,0.0,0.0,9.0,9.0,9.0,10.0,9.0,7.0,6.0,10.0,6.0,6.0,5.0,0.18,20.0,3.0,8.0,4.0,0,2.0,4.2,0.0,0.0,2.4,0.0,0.0
1,22.0,25.0,1,9.0,7.0,9.0,8.0,9.0,7.0,60.0,0.0,0.0,40.0,0.0,0.0,9.0,9.0,9.0,10.0,9.0,6.0,7.0,10.0,6.0,6.0,5.0,-0.14,20.0,3.0,7.0,3.0,0,3.0,3.6,0.0,0.0,2.4,0.0,0.0
1,22.0,23.0,0,6.0,9.0,9.0,6.0,8.0,2.0,60.0,0.0,0.0,40.0,0.0,0.0,9.0,9.0,9.0,10.0,9.0,6.0,8.0,10.0,6.0,7.0,6.0,0.37,20.0,3.0,7.0,4.0,0,1.0,3.6,0.0,0.0,2.4,0.0,0.0
1,22.0,25.0,1,8.0,7.0,7.0,9.0,6.0,7.0,60.0,0.0,0.0,40.0,0.0,0.0,9.0,9.0,9.0,10.0,9.0,8.0,8.0,10.0,7.0,6.0,5.0,-0.11,20.0,3.0,9.0,4.0,1,3.0,4.8,0.0,0.0,2.8,0.0,0.0
1,22.0,26.0,0,10.0,10.0,10.0,10.0,10.0,10.0,60.0,0.0,0.0,40.0,0.0,0.0,9.0,9.0,9.0,10.0,9.0,8.0,8.0,10.0,7.0,6.0,5.0,0.03,20.0,3.0,8.0,4.0,1,4.0,4.8,0.0,0.0,2.8,0.0,0.0
1,25.0,21.0,0,4.0,9.0,7.0,4.0,6.0,4.0,50.0,0.0,30.0,10.0,0.0,10.0,6.0,6.0,8.0,8.0,6.0,7.0,7.0,8.0,8.0,7.0,7.0,0.25,10.0,3.0,7.0,6.0,0,4.0,3.5,0.0,2.4,0.8,0.0,0.7
1,25.0,24.0,1,8.0,7.0,8.0,3.0,6.0,2.0,50.0,0.0,30.0,10.0,0.0,10.0,6.0,6.0,8.0,8.0,6.0,7.0,8.0,7.0,5.0,7.0,7.0,0.73,10.0,3.0,7.0,5.0,0,1.0,3.5,0.0,2.1,0.5,0.0,0.7
1,25.0,25.0,1,8.0,10.0,10.0,7.0,9.0,9.0,50.0,0.0,30.0,10.0,0.0,10.0,6.0,6.0,8.0,8.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,-0.3,10.0,3.0,6.0,7.0,0,0.0,3.5,0.0,1.8,0.6,0.0,0.6
1,25.0,23.0,1,5.0,10.0,8.0,4.0,8.0,2.0,50.0,0.0,30.0,10.0,0.0,10.0,6.0,6.0,8.0,8.0,6.0,6.0,6.0,7.0,7.0,8.0,7.0,0.37,10.0,3.0,6.0,6.0,0,2.0,3.0,0.0,2.1,0.7,0.0,0.7
1,25.0,21.0,1,5.0,6.0,7.0,5.0,7.0,8.0,50.0,0.0,30.0,10.0,0.0,10.0,6.0,6.0,8.0,8.0,6.0,5.0,8.0,7.0,7.0,7.0,7.0,0.06,10.0,3.0,6.0,7.0,0,4.0,2.5,0.0,2.1,0.7,0.0,0.7
1,25.0,23.0,0,3.0,7.0,6.0,1.0,1.0,1.0,50.0,0.0,30.0,10.0,0.0,10.0,6.0,6.0,8.0,8.0,6.0,6.0,6.0,8.0,8.0,8.0,7.0,0.19,10.0,3.0,6.0,6.0,0,2.0,3.0,0.0,2.4,0.8,0.0,0.7
1,25.0,22.0,0,4.0,8.0,7.0,4.0,5.0,4.0,50.0,0.0,30.0,10.0,0.0,10.0,6.0,6.0,8.0,8.0,6.0,8.0,8.0,8.0,6.0,6.0,6.0,0.59,10.0,3.0,7.0,7.0,0,3.0,4.0,0.0,2.4,0.6,0.0,0.6
1,25.0,25.0,1,6.0,8.0,8.0,5.0,6.0,7.0,50.0,0.0,30.0,10.0,0.0,10.0,6.0,6.0,8.0,8.0,6.0,8.0,7.0,7.0,7.0,8.0,7.0,0.28,10.0,3.0,7.0,6.0,1,0.0,4.0,0.0,2.1,0.7,0.0,0.7
1,25.0,26.0,0,8.0,9.0,9.0,7.0,6.0,5.0,50.0,0.0,30.0,10.0,0.0,10.0,6.0,6.0,8.0,8.0,6.0,6.0,6.0,7.0,8.0,7.0,7.0,0.42,10.0,3.0,6.0,5.0,1,1.0,3.0,0.0,2.1,0.8,0.0,0.7
1,30.0,21.0,0,7.0,6.0,7.0,4.0,6.0,7.0,35.0,15.0,25.0,10.0,5.0,10.0,7.0,7.0,6.0,8.0,4.0,3.0,6.0,7.0,5.0,8.0,7.0,0.34,2.0,1.0,2.0,1.0,0,9.0,1.05,0.9,1.75,0.5,0.4,0.7
1,30.0,24.0,1,7.0,5.0,9.0,6.0,7.0,9.0,35.0,15.0,25.0,10.0,5.0,10.0,7.0,7.0,6.0,8.0,4.0,5.0,3.0,4.0,3.0,5.0,3.0,0.6,2.0,1.0,4.0,3.0,0,6.0,1.75,0.45,1.0,0.3,0.25,0.3
1,30.0,25.0,1,8.0,9.0,10.0,7.0,7.0,9.0,35.0,15.0,25.0,10.0,5.0,10.0,7.0,7.0,6.0,8.0,4.0,6.0,3.0,5.0,4.0,5.0,4.0,-0.26,2.0,1.0,2.0,2.0,0,5.0,2.1,0.45,1.25,0.4,0.25,0.4
1,30.0,23.0,1,7.0,10.0,10.0,7.0,10.0,5.0,35.0,15.0,25.0,10.0,5.0,10.0,7.0,7.0,6.0,8.0,4.0,7.0,6.0,3.0,5.0,6.0,5.0,0.35,2.0,1.0,6.0,4.0,0,7.0,2.45,0.9,0.75,0.5,0.3,0.5
1,30.0,21.0,1,6.0,6.0,8.0,5.0,5.0,6.0,35.0,15.0,25.0,10.0,5.0,10.0,7.0,7.0,6.0,8.0,4.0,2.0,3.0,4.0,4.0,5.0,3.0,-0.05,2.0,1.0,3.0,3.0,0,9.0,0.7,0.45,1.0,0.4,0.25,0.3
1,30.0,23.0,0,8.0,8.0,8.0,8.0,3.0,4.0,35.0,15.0,25.0,10.0,5.0,10.0,7.0,7.0,6.0,8.0,4.0,5.0,6.0,8.0,4.0,5.0,4.0,0.47,2.0,1.0,3.0,3.0,0,7.0,1.75,0.9,2.0,0.4,0.25,0.4
1,30.0,22.0,0,7.0,7.0,8.0,7.0,7.0,7.0,35.0,15.0,25.0,10.0,5.0,10.0,7.0,7.0,6.0,8.0,4.0,7.0,6.0,5.0,4.0,4.0,3.0,0.31,2.0,1.0,5.0,4.0,0,8.0,2.45,0.9,1.25,0.4,0.2,0.3
1,30.0,25.0,1,6.0,7.0,8.0,5.0,7.0,7.0,35.0,15.0,25.0,10.0,5.0,10.0,7.0,7.0,6.0,8.0,4.0,6.0,4.0,7.0,5.0,6.0,4.0,0.05,2.0,1.0,4.0,4.0,0,5.0,2.1,0.6,1.75,0.5,0.3,0.4
1,30.0,26.0,0,6.0,8.0,9.0,6.0,6.0,6.0,35.0,15.0,25.0,10.0,5.0,10.0,7.0,7.0,6.0,8.0,4.0,8.0,6.0,7.0,8.0,6.0,5.0,0.21,2.0,1.0,8.0,4.0,1,4.0,2.8,0.9,1.75,0.8,0.3,0.5
1,27.0,21.0,0,4.0,9.0,7.0,6.0,5.0,6.0,33.33,11.11,11.11,11.11,11.11,22.22,6.0,8.0,6.0,8.0,9.0,6.0,7.0,5.0,6.0,8.0,6.0,0.5,2.0,2.0,7.0,5.0,0,6.0,1.9998,0.7777,0.5555,0.6666,0.8887999999999999,1.3332
1,27.0,24.0,1,5.0,8.0,7.0,5.0,9.0,5.0,33.33,11.11,11.11,11.11,11.11,22.22,6.0,8.0,6.0,8.0,9.0,7.0,7.0,7.0,7.0,7.0,5.0,0.07,2.0,2.0,7.0,6.0,0,3.0,2.3331,0.7777,0.7777,0.7777,0.7777,1.111
1,27.0,25.0,1,7.0,9.0,9.0,8.0,9.0,7.0,33.33,11.11,11.11,11.11,11.11,22.22,6.0,8.0,6.0,8.0,9.0,4.0,5.0,6.0,4.0,6.0,4.0,0.29,2.0,2.0,5.0,1.0,0,2.0,1.3332,0.5555,0.6666,0.4443999999999999,0.6666,0.8887999999999999
1,27.0,23.0,1,5.0,9.0,9.0,5.0,9.0,7.0,33.33,11.11,11.11,11.11,11.11,22.22,6.0,8.0,6.0,8.0,9.0,6.0,7.0,8.0,6.0,6.0,5.0,0.15,2.0,2.0,7.0,7.0,0,4.0,1.9998,0.7777,0.8887999999999999,0.6666,0.6666,1.111
1,27.0,21.0,1,5.0,5.0,7.0,6.0,7.0,5.0,33.33,11.11,11.11,11.11,11.11,22.22,6.0,8.0,6.0,8.0,9.0,5.0,5.0,6.0,5.0,5.0,5.0,0.07,2.0,2.0,6.0,5.0,0,6.0,1.6665,0.5555,0.6666,0.5555,0.5555,1.111
1,27.0,23.0,0,4.0,8.0,9.0,2.0,8.0,3.0,33.33,11.11,11.11,11.11,11.11,22.22,6.0,8.0,6.0,8.0,9.0,6.0,7.0,8.0,7.0,8.0,5.0,0.03,2.0,2.0,7.0,6.0,0,4.0,1.9998,0.7777,0.8887999999999999,0.7777,0.8887999999999999,1.111
1,27.0,22.0,0,5.0,7.0,8.0,5.0,9.0,5.0,33.33,11.11,11.11,11.11,11.11,22.22,6.0,8.0,6.0,8.0,9.0,8.0,7.0,6.0,7.0,7.0,5.0,0.08,2.0,2.0,7.0,5.0,0,5.0,2.6664,0.7777,0.6666,0.7777,0.7777,1.111
